trade_id,trader_id,trader_name,trade_date,entry_time,exit_time,exit_date,trading_session,asset,asset_class,trade_type,strategy,entry_price,exit_price,stop_loss,take_profit,quantity,risk_pct,reward_pct,profit_loss,fees,net_profit,trade_duration_min,win_loss,account_balance,max_drawdown_pct,risk_reward_ratio,emotional_state,trade_notes,data_source
TT-003301,TR-005,L. Fernandez,2024-08-06,13:51:28,14:34:28,2024-08-06,New York,BTC,Crypto,Sell,Mean Reversion,17245.87503,16676.44818,17701.88478,16507.13923,0.133444,2.867,4.645,75.99,1.73,74.26,43.0,Win,2196.58,82.223,1.62,Confident,"Good execution, momentum confirmed the bias early.",synthetic
TT-008456,TR-001,A. Kapoor,2025-10-20,12:28:22,12:53:22,2025-10-20,London,  BTC ,Crypto,Sell,Breakout,8965.42545,9124.94982,9117.27429,8525.0638,4.161746,0.914,2.652,-663.9,27.98,-691.88,25.0,Loss,68424.62,28.476,2.9,Neutral,"Setup failed, stop hit as planned.",synthetic
TT-001107,TR-008,R. Sharma,2024-03-19,08:44:27,08:34:27,2024-03-22,London,GOLD,Commodity,BUY,Swing,2106.74304,2083.24449,2083.24449,2198.38741,32.99556,1.461,5.697,-775.35,20.85,-796.2,4310.0,Loss,52278.4,23.146,3.9,FOMO,Chased the GOLD candle after the move was done. Immediate reversal.,synthetic
TT-004750,TR-012,T. Bergman,2024-11-26,06:45:25,09:18:25,2024-11-29,Asia,ETH,Crypto,Buy,Swing,1406.70997,1335.69253,1335.69253,1632.54543,1.663339,1.226,3.9,-118.13,1.99,-120.12,4473.0,Loss,9511.41,68.619,3.18,Anxious,"Cut the position early in fear, price later reached my target.",synthetic
TT-005132,TR-007,D. Novak,2024-12-26,18:13:00,18:38:00,2024-12-26,New York,BTC,Crypto,Buy,Breakout,20171.48815,19682.00587,19682.00587,21145.55788,0.25439,1.343,2.672,-124.52,3.85,-128.37,25.0,Loss,9144.34,68.371,1.99,Neutral,"Choppy conditions on BTC, no follow-through.",synthetic
TT-001146,TR-002,M. Chen,2024-03-21,13:41:40,14:11:40,2024-03-21,New York,GOLD,Commodity,Buy,Breakout,2064.97338,2045.46614,2051.18585,2090.89394,10.625785,0.701,1.317,-207.28,6.58,-213.86,30.0,Loss,20693.32,28.895,1.88,Neutral,"Choppy conditions on GOLD, no follow-through.",synthetic
TT-007960,TR-008,R. Sharma,2025-08-27,11:05:24,11:10:24,2025-08-27,London,BTC,Crypto,Sell,Scalping,11523.98726,11460.70217,11609.16671,11443.91858,2.271447,0.719,0.676,143.75,19.63,124.12,5.0,Win,27042.57,60.387,0.94,Anxious,"Hesitated on entry, still worked but I left money on the table.",synthetic
TT-004430,TR-003,S. Iyer,2024-11-04,17:01:16,17:04:16,2024-11-04,New York,US30,Index,Buy,Scalping,42790.09321,42823.34412,42756.16371,42823.34412,6.884501,2.176,2.132,228.92,58.92,170.0,3.0,Win,10905.25,62.449,0.98,FOMO,"Chased US30 after the initial move — got lucky this time, not repeatable.",synthetic
TT-005597,TR-011,N. Haddad,2025-02-03,05:37:04,06:22:04,2025-02-03,Asia,eth,Crypto,Buy,Mean Reversion,1305.36208,1260.69504,1260.69504,1370.12929,3.012324,0.21,0.304,-134.55,3.34,-137.89,45.0,Loss,63934.3,22.665,1.45,Disciplined,"Plan followed, thesis invalidated. Acceptable loss, nothing to fix.",synthetic
TT-001148,TR-003,S. Iyer,2024-03-21,17:14:36,17:20:36,2024-03-21,New York,BTC,Crypto,Sell,Scalping,24212.3756,24400.93323,24390.69515,23993.04255,0.905418,2.153,2.648,-170.72,16.44,-187.16,6.0,Loss,7313.21,55.044,1.23,FOMO,Chased the BTC candle after the move was done. Immediate reversal.,synthetic
TT-009737,TR-006,K. Watanabe,2026-03-02,03:19:09,04:34:09,2026-03-02,Asia,EURUSD,Forex,Sell,Breakout,0.78552,0.7878,0.7878,0.77933,406008.205189,1.386,3.769,-924.79,38.27,-963.06,75.0,Loss,65779.13,33.006,2.72,Confident,Was too sure of the bias and ignored the opposing signal.,synthetic
TT-010831,TR-008,R. Sharma,2026-06-20,18:55:27,19:25:27,2026-06-20,New York,BTC,Crypto,Sell,Mean Reversion,29622.05503,30366.16666,30366.16666,28684.47437,1.625303,2.657,3.347,-1209.41,36.11,-1245.52,30.0,Loss,44279.77,64.176,1.26,Greedy,Oversized well beyond the risk plan and got punished.,synthetic
TT-009376,TR-004,J. Okafor,2026-01-23,10:20:12,10:25:12,2026-01-23,London,GOLD,Commodity,Buy,News Trading,3260.84872,3311.59495,3242.52878,3311.59495,144.613956,1.2,3.325,7338.61,141.47,7197.14,5.0,Win,227925.49,18.669,2.77,Confident,,synthetic
TT-009614,TR-012,T. Bergman,2026-02-17,19:03:51,21:02:51,2026-02-17,New York,BTC,Crypto,Buy,Breakout,19615.31406,20642.67093,19251.00312,20642.67093,0.871558,3.177,8.958,895.4,12.82,882.58,119.0,Win,10877.95,74.863,2.82,FOMO,"Entered late without confirmation. Worked, but the process was wrong.",synthetic
TT-008694,TR-011,N. Haddad,2025-11-11,02:04:30,04:37:30,2025-11-11,Asia,BTC,Crypto,Sell,Order Block (SMC),9925.12586,10147.31759,10147.31759,9402.97529,3.340684,0.763,1.792,-742.27,24.87,-767.14,153.0,Loss,96576.56,30.204,2.35,Revenge,"Revenge trade straight after a loss. Size was reckless, no setup.",synthetic
TT-001409,TR-010,P. Silva,2024-04-03,10:15:24,10:50:24,2024-04-03,London,EURUSD,Forex,Buy,Breakout,1.01041,1.00813,1.00813,1.01545,76759.499115,1.714,3.804,-174.54,9.31,-183.85,35.0,Loss,10001.52,42.028,2.22,Neutral,"Setup failed, stop hit as planned.",synthetic
TT-000533,TR-001,A. Kapoor,2024-02-12,15:53:22,16:03:22,2024-02-12,New York,BTC,Crypto,Buy,Breakout,28127.77705,27984.80196,27819.53058,28756.59985,1.275985,0.832,1.697,-182.43,26.92,-209.35,10.0,Loss,47086.08,6.859,2.04,Disciplined,"Plan followed, thesis invalidated. Acceptable loss, nothing to fix.",synthetic
TT-008481,TR-004,J. Okafor,2025-10-22,19:07:20,19:12:20,2025-10-22,New York,BTC,Crypto,Sell,News Trading,8421.66621,8596.24196,8596.24196,7901.43046,9.959076,0.804,2.395,-1738.61,62.9,-1801.51,5.0,Loss,214567.51,18.669,2.98,Confident,"Overconfident after a winning run, skipped confirmation.",synthetic
TT-000824,TR-007,D. Novak,2024-02-28,02:29:33,03:30:33,2024-02-28,Asia,EURUSD,Forex,Buy,Mean Reversion,1.07866,1.08326,1.0751,1.08326,100559.622272,1.525,1.967,462.04,13.02,449.02,61.0,Win,23938.1,10.035,1.29,Neutral,"Textbook execution, no emotion involved.",synthetic
TT-002611,TR-008,R. Sharma,2024-06-20,10:09:05,12:43:05,2024-06-20,London,NASDAQ,Index,Buy,Breakout,23739.23418,23661.68664,23545.03021,24232.51227,2.696097,0.889,2.258,-209.08,14.08,-223.16,154.0,Loss,58668.84,34.122,2.54,Disciplined,"Plan followed, thesis invalidated. Acceptable loss, nothing to fix.",synthetic
TT-007290,TR-007,D. Novak,2025-06-27,13:15:41,02:18:41,2025-06-28,New York,GOLD,Commodity,Buy,Swing,2578.33166,2534.47407,2534.47407,2709.90442,1.182706,1.512,4.537,-51.87,0.91,-52.78,783.0,Loss,3376.8,88.646,3.0,Disciplined,"Valid swing setup, market simply rejected the level. Stop respected.",synthetic
TT-003835,TR-002,M. Chen,2024-09-15,11:35:05,12:00:05,2024-09-15,London,BTC,Crypto,Sell,Breakout,22354.30905,21397.0809,22825.85001,21397.0809,0.846558,1.993,4.045,810.35,14.19,796.16,25.0,Win,20828.43,44.888,2.03,FOMO,"Entered late without confirmation. Worked, but the process was wrong.",synthetic
TT-007090,TR-004,J. Okafor,2025-06-16,10:26:15,10:34:15,2025-06-16,London,NASDAQ,Index,Buy,Scalping,34987.43203,35134.1885,34860.91783,35134.1885,10.538556,0.794,0.921,1546.6,81.12,1465.48,8.0,Win,169325.64,18.669,1.16,Disciplined,"A+ setup. Risk sized correctly, no interference after entry.",synthetic
TT-002694,TR-012,T. Bergman,2024-06-26,15:51:50,20:00:50,2024-06-26,New York,BTC,Crypto,Sell,Trend Following,18131.38562,18685.00173,18685.00173,16038.71672,0.444492,1.677,6.339,-246.08,6.04,-252.12,249.0,Loss,14421.12,59.689,3.78,Disciplined,"Plan followed, thesis invalidated. Acceptable loss, nothing to fix.",synthetic
TT-000589,TR-008,R. Sharma,2024-02-14,19:23:51,21:40:51,2024-02-14,New York,ETH,Crypto,Sell,Trend Following,2362.85033,2425.13631,2425.13631,2172.87811,11.495083,1.418,4.324,-715.98,23.09,-739.07,137.0,Loss,49764.2,20.008,3.05,Neutral,"Setup failed, stop hit as planned.",synthetic
TT-000506,TR-012,T. Bergman,2024-02-08,20:06:14,21:45:14,2024-02-08,New York,US30,Index,Buy,Breakout,39226.41659,39018.38423,39062.35907,39685.77763,3.07138,2.007,5.619,-638.95,24.1,-663.05,99.0,Loss,24444.3,19.351,2.8,FOMO,Chased the US30 candle after the move was done. Immediate reversal.,synthetic
TT-009613,TR-012,T. Bergman,2026-02-17,00:53:52,00:56:52,2026-02-17,Asia,EURUSD,Forex,Sell,Scalping,0.79412,0.79671,0.79591,0.79168,53257.708225,0.941,1.28,-137.89,5.08,-142.97,3.0,Loss,9995.36,74.863,1.36,Confident,Was too sure of the bias and ignored the opposing signal.,synthetic
TT-003216,TR-002,M. Chen,2024-07-31,15:55:04,16:02:04,2024-07-31,New York,ETH,Crypto,Buy,Breakout,823.74006,820.0603,806.73743,856.8952,3.121446,0.307,0.599,-11.49,2.19,-13.68,7.0,Loss,17270.76,44.888,1.95,Neutral,"Choppy conditions on ETH, no follow-through.",synthetic
TT-002130,TR-009,E. Bauer,2024-05-21,14:00:47,14:42:47,2024-05-21,New York,NASDAQ,Index,Sell,Mean Reversion,19992.38728,20154.91674,20154.91674,19768.09663,1.992487,1.287,1.776,-323.84,8.76,-332.6,42.0,Loss,24836.99,20.848,1.38,Confident,Was too sure of the bias and ignored the opposing signal.,synthetic
TT-007860,TR-003,S. Iyer,2025-08-16,08:54:46,12:26:46,2025-08-16,London,BTC,Crypto,Buy,Trend Following,11805.63963,11478.88987,11535.20336,12600.72226,0.262347,1.382,4.062,-85.72,2.32,-88.04,212.0,Loss,5047.15,76.332,2.94,Anxious,"Cut the position early in fear, price later reached my target.",synthetic
TT-000031,TR-006,K. Watanabe,2024-01-03,18:37:08,04:37:08,2024-01-04,New York,US30,Index,Buy,Swing,37297.2201,37602.58428,37196.77136,37602.58428,2.829562,0.865,2.628,864.05,21.11,842.94,600.0,Win,33715.77,6.078,3.04,Anxious,"Hesitated on entry, still worked but I left money on the table.",synthetic
TT-002811,TR-012,T. Bergman,2024-07-03,05:35:23,06:53:23,2024-07-03,Asia,ETH,Crypto,Buy,Mean Reversion,1213.12092,1264.2813,1175.503,1264.2813,5.615911,1.523,2.071,287.31,5.79,281.52,78.0,Win,14156.61,59.689,1.36,Confident,"Read the ETH structure well, scaled out at target.",synthetic
TT-010880,TR-001,A. Kapoor,2026-06-25,05:37:22,07:03:22,2026-06-25,Asia,EURUSD,Forex,Buy,Trend Following,0.76681,0.77455,0.76208,0.77765,205002.68614,1.201,2.75,1586.72,18.86,1567.86,86.0,Win,82333.23,28.476,2.29,Confident,"Read the EURUSD structure well, scaled out at target.",synthetic
TT-006724,TR-009,E. Bauer,2025-05-14,14:21:45,22:16:45,2025-05-14,New York,BTC,Crypto,Buy,Trend Following,19305.791,18905.13173,18905.13173,20776.21049,0.272566,1.648,6.047,-109.21,3.95,-113.16,475.0,Loss,6514.57,78.285,3.67,Revenge,"Revenge trade straight after a loss. Size was reckless, no setup.",synthetic
TT-001539,TR-007,D. Novak,2024-04-10,10:48:54,11:51:54,2024-04-10,London,BTC,Crypto,Buy,Breakout,22084.00918,21601.22224,21601.22224,23561.3372,0.369037,0.977,2.991,-178.17,6.11,-184.28,63.0,Loss,18044.42,33.736,3.06,Anxious,Second-guessed the entry and exited into noise.,synthetic
TT-006267,TR-011,N. Haddad,2025-04-04,08:51:49,08:54:49,2025-04-04,London,ETH,Crypto,Sell,Scalping,856.52256,864.81285,864.81285,848.72968,38.643295,0.489,0.46,-320.36,28.13,-348.49,3.0,Loss,65154.83,22.665,0.94,Neutral,"Setup failed, stop hit as planned.",synthetic
TT-010393,TR-006,K. Watanabe,2026-05-05,02:49:46,03:09:46,2026-05-05,Asia,ETH,Crypto,Sell,Mean Reversion,1735.55642,1769.48052,1774.39782,1671.07968,14.05724,0.853,1.416,-476.88,20.74,-497.62,20.0,Loss,63522.48,33.006,1.66,Confident,,synthetic
TT-009847,TR-003,S. Iyer,2026-03-13,09:09:20,09:14:20,2026-03-13,London,BTC,Crypto,Sell,News Trading,23619.08555,21391.99717,24547.03904,21391.99717,0.088942,2.171,5.211,198.08,1.58,196.5,5.0,Win,3997.98,77.736,2.4,Confident,"Good execution, momentum confirmed the bias early.",synthetic
TT-005205,TR-006,K. Watanabe,2025-01-02,17:42:33,21:27:33,2025-01-02,New York,BTC,Crypto,Buy,Trend Following,20560.81831,22006.73979,20070.67543,22006.73979,1.352502,1.728,5.097,1955.61,20.86,1934.75,225.0,Win,40299.77,33.006,2.95,Revenge,Doubled size to make the loss back. Won — dangerous precedent.,synthetic
TT-005501,TR-011,N. Haddad,2025-01-28,13:01:38,15:28:38,2025-01-28,New York,ETH,Crypto,Sell,Trend Following,1402.05591,1442.87067,1442.87067,1272.26496,23.044552,1.411,4.487,-940.56,27.46,-968.02,147.0,Loss,65689.91,22.665,3.18,Confident,"Overconfident after a winning run, skipped confirmation.",synthetic
TT-004733,TR-003,S. Iyer,2024-11-26,09:05:57,09:08:57,2024-11-26,London,US30,Index,Buy,Scalping,45308.58112,45383.86616,45225.26301,45391.06605,2.503027,2.271,2.248,188.44,22.68,165.76,3.0,Win,9349.54,62.449,0.99,Revenge,"Jumped straight back in after the previous loss. Recovered, pure luck.",synthetic
TT-004135,TR-003,S. Iyer,2024-10-11,11:46:38,12:51:38,2024-10-11,London,ETH,Crypto,Sell,Mean Reversion,1690.18288,1723.99661,1723.99661,1637.09531,3.47679,0.982,1.542,-117.56,4.99,-122.55,65.0,Loss,11845.06,62.449,1.57,Neutral,"Choppy conditions on ETH, no follow-through.",synthetic
TT-010132,TR-003,S. Iyer,2026-04-10,17:18:03,21:07:03,2026-04-10,New York,BTC,Crypto,Sell,Trend Following,21502.48556,19564.44741,21988.16542,19710.32691,0.09633,1.319,4.866,186.69,1.55,185.14,229.0,Win,3733.25,78.189,3.69,Confident,"Read the BTC structure well, scaled out at target.",synthetic
TT-005364,TR-007,D. Novak,2025-01-17,20:06:28,,,New York,EURUSD,Forex,Buy,Breakout,0.8198,,0.81812,0.82337,53636.921945,1.152,2.443,,5.28,,,,7766.79,73.135,2.12,Neutral,"Setup failed, stop hit as planned.",synthetic
TT-005461,TR-003,S. Iyer,2025-01-25,13:35:04,14:02:04,2025-01-25,New York,BTC,Crypto,Buy,Breakout,22266.3266,21839.0818,21839.0818,23509.60898,0.320231,1.749,5.088,-136.82,5.35,-142.17,27.0,Loss,7682.62,62.449,2.91,Neutral,"Choppy conditions on BTC, no follow-through.",synthetic
TT-001441,TR-001,A. Kapoor,2024-04-05,16:49:54,20:08:54,2024-04-05,New York,BTC,Crypto,Sell,Order Block (SMC),22424.57233,22737.44948,22737.44948,21573.5465,4.068352,3.073,8.358,-1272.89,68.42,-1341.31,199.0,Loss,40082.61,20.388,2.72,Revenge,Tried to recover the previous loss in one trade. Textbook tilt.,synthetic
TT-009875,TR-006,K. Watanabe,2026-03-16,11:05:45,13:59:45,2026-03-16,London,GOLD,Commodity,Sell,Mean Reversion,3657.81078,3594.45532,3694.86076,3594.45532,29.627451,1.498,2.561,1877.06,32.51,1844.55,174.0,Win,75125.04,33.006,1.71,Confident,"Good execution, momentum confirmed the bias early.",synthetic
TT-010136,TR-006,K. Watanabe,2026-04-10,11:12:33,11:13:33,2026-04-10,London,GOLD,Commodity,Buy,Scalping,3780.85963,3775.31263,3771.86821,3788.05276,99.4339,1.227,0.982,-551.56,112.78,-664.34,1.0,Loss,72173.63,33.006,0.8,,"Choppy conditions on GOLD, no follow-through.",synthetic
